GrowerNumber,PreviousWorkbookName,PreviousPool,PreviousStatus,CurrentWorkbookName,CurrentPoolStarts,CurrentStatus,Category,OldAliasDisposition,PoolDisposition
1120,ALL THAT JAZZ NON-CHILEAN,AJ,Active,ALL THAT JAZZ ORG,AJ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1121,,,Absent,ALL THAT JAZZ CONV,A7,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1125,ALL THAT JAZZ NON-CANADA,AT,Active,ALL THAT JAZZ ORG CHIL,AT,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1127,OMAK AIRPORT-STAYMAN,AS,Active,CHELAN STAYMAN ORG,AS,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1128,,,Absent,CHELAN STAYMAN ORG CHIL,C5,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1129,,,Absent,CHELAN STAYMAN CONV,C6,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1130,OTHELLOS EDGE NON-CHILEAN,OE,Active,OTHELLOS EDGE ORG,OE,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1131,,,Absent,OTHELLOS EDGE ORG CHIL,O2,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1132,,,Absent,OTHELLOS EDGE CONV,O3,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1140,9 MILE ORCHARD,9M,Active,9 MILE ORCHARD ORG CHIL,9M,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1141,,,Absent,9 MILE ORCHARD CONV,9O,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1145,9 MILE ORCHARD NON-CHILEAN,9C,Active,9 MILE ORCHARD ORG,9C,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1150,COYOTE,CO,Active,COYOTE ORG,CO,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1151,,,Absent,COYOTE ORG CHIL,CU,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1152,,,Absent,COYOTE CONV,CI,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1160,MEADOW LAKE ORCHARDS,ML,Active,MEADOW LAKE ORG,ML,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1161,,,Absent,MEADOW LAKE ORG CHIL,MV,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1162,,,Absent,MEADOW LAKE CONV,MX,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1165,Davis Orchards - Rembolt Fuji,DR,Active,DAVIS ORCHARD -REMBOLT,DR,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1166,Davis Orchards - P4 Fuji,P4,Active,DAVIS ORCHARD -P4,P4,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1167,Davis Orchards - Hurley Fuji,HF,Active,DAVIS ORCHARD -HURLEY,HF,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1168,Davis Orchards - Bob Fuji,BD,Active,DAVIS ORCHARD -BOB,BD,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1169,Davis Orchards - Tootie Fuji,TF,Active,DAVIS ORCHARD -TOOTIE,TF,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1170,Davis Orchads - Todd Humbert,TH,Active,DAVIS ORCHARD -HUMBERT,TH,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1175,Davis orchards -FIRESTORM,FI,Active,DAVIS ORCHARD-FIRESTORM,FI,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1180,Davis Orchards - toddbenito,TD,Active,DAVIS ORCHARD -BENITOS,TD,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1185,Davis Orchards - ToddFujis,DV,Active,DAVIS ORCHARD -TODD,DV,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1190,ADAMS COUNTY APPLES NON-CHILEAN,AC,Active,ADAMS COUNTY APP ORG,AC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1191,,,Absent,ADAMS COUNTY A ORG CHIL,A5,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1192,,,Absent,ADAMS COUNTY APP CONV,A6,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1200,INACTIVE,,Inactive,INACTIVE - ATJ,,Inactive,Still inactive,Not applicable,
1210,Davis Orchards - LeforeGS,LG,Active,DAVIS ORCHARD - LEFORE,LG,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1220,INACTIVE,,Inactive,INACTIVE - Crown-18,,Inactive,Still inactive,Not applicable,
1230,SIMMONS,SI,Active,SIMMONS ORG,SI,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1232,,,Absent,SIMMONS CONV,IA,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1235,Simmons - Chilean,SX,Active,SIMMONS ORG CHIL,SX,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1240,Panorama,PA,Active,Panorama ORG,PA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1241,,,Absent,Panorama ORG CHIL,PZ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1242,,,Absent,Panorama CONV,PV,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1250,INACTIVE,,Inactive,INACTIVE - LSI-EBS,,Inactive,Still inactive,Not applicable,
1260,LC Orchard LLC NON-CHILEAN,LC,Active,LC Orchard ORG,LC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1261,,,Absent,LC Orchard ORG CHIL,LV,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1262,,,Absent,LC Orchard CONV,LX,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1270,HIGHLAND HARVEST,HH,Active,HIGHLAND HARV ORG CHIL,HH,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1272,,,Absent,HIGHLAND HARVEST CONV,H4,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1275,HIGHLAND HARVEST NON-CHILEAN,H3,Active,HIGHLAND HARVEST ORG,H3,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1280,INACTIVE,,Inactive,INACTIVE - ELK ORCH-EBS,,Inactive,Still inactive,Not applicable,
1290,OK ORCHARD,OK,Active,OK ORCHARD ORG CHIL,OK,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1292,,,Absent,OK ORCHARD CONV,OZ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1295,OK ORCHARD-NON-CHILEAN,OG,Active,OK ORCHARD ORG,OG,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1300,INACTIVE,,Inactive,INACTIVE - JJ Orchard,,Inactive,Still inactive,Not applicable,
1310,MP - CHILLIWIST,MC,Active,CHILLIWIST ORG,MC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1311,,,Absent,CHILLIWIST ORG CHIL,C7,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1312,,,Absent,CHILLIWIST CONV,C8,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1320,JJ Tonasket,JJ,Active,JJ - TONASKET ORG,JJ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1321,,,Absent,JJ - TONASKET ORG CHIL,JU,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1322,,,Absent,JJ - TONASKET CONV,JH,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1325,JJ ORCHARD - DJT,DJ,Active,JJ - DJT ORG,DJ,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1326,,,Absent,JJ - DJT ORG CHIL,D5,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1327,,,Absent,JJ - DJT CONV,D6,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1330,FFL-Sweetheart,FS,Active,FFL-SWEETHEART ORG CHIL,FS,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1332,,,Absent,FFL-SWEETHEART CONV,FY,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1335,FFL-SWEETHEART NON-CHILEAN,FU,Active,FFL-SWEETHEART ORG,FU,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1340,FFL-Cherry Hill,FC,Active,FFL-Cherry Hill ORG,FC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1341,,,Absent,FFL-CHERRY H ORG CHIL,FZ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1342,,,Absent,FFL-Cherry Hill CONV,FX,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1350,FFL-Organic,FO,Active,FFL-ORGANIC ORG CHIL,FO,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1352,,,Absent,FFL-ORGANIC CONV,FL,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1355,FFL-ORGANIC NON-CHILEAN,FP,Active,FFL-ORGANIC ORG,FP,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1360,Elk-Riverside,ER,Active,Elk-Riverside ORG,ER,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1361,,,Absent,Elk-Riverside ORG CHIL,EQ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1362,,,Absent,Elk-Riverside CONV,EY,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1370,Top Pear,TP,Active,TOP PEAR ORG,TP,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1371,,,Absent,TOP PEAR ORG CHIL,TL,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1372,,,Absent,TOP PEAR CONV,TK,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1380,Radar Hill Apples,RH,Active,Radar Hill Apple ORG,RH,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1381,,,Absent,Radar Hill App ORG CHIL,3R,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1382,,,Absent,Radar Hill Apple CONV,4R,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1385,Radar Hill Apples-A Glory Block,RG,Active,Radar Hill-ATGL ORG,RG,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1386,,,Absent,Radar Hill-ATG ORG CHIL,5R,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1387,,,Absent,Radar Hill-ATGL CONV,6R,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1390,Duck Lake,DL,Active,Duck Lake ORG,DL,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1391,,,Absent,Duck Lake ORG CHIL,D3,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1392,,,Absent,Duck Lake CONV,D4,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1400,INACTIVE,,Inactive,INACTIVE-MP Chilliwist,,Inactive,Still inactive,Not applicable,
1410,,,Absent,GRIFFITH ORG CHIL,1G,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1411,,,Absent,GRIFFITH ORG,2G,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1412,,,Absent,GRIFFITH CONV,3G,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1420,,,Absent,BB1 CONV,1E,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1421,,,Absent,BB1 ORG,1C,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1422,,,Absent,BB1 ORG CHIL,1H,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1430,,,Absent,BB2 CONV,2E,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1431,,,Absent,BB2 ORG,2C,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1432,,,Absent,BB2 ORG CHIL,2H,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1440,,,Absent,BB3 CONV,3E,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1441,,,Absent,BB3 ORG,3C,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1442,,,Absent,BB3 ORG CHIL,3D,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1450,,,Absent,BB5 CONV,5E,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1451,,,Absent,BB5 ORG,5C,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1452,,,Absent,BB5 ORG CHIL,5D,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1500,INACTIVE,,Inactive,INACTIVE-OK Orchard,,Inactive,Still inactive,Not applicable,
1510,Porky Pears,PP,Active,Porky Pears ORG,PP,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1511,,,Absent,Porky Pears ORG CHIL,PF,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1512,,,Absent,Porky Pears CONV,PD,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1520,MP - HENDRICKSON,MH,Active,HENDRICKSON ORG,MH,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1521,,,Absent,HENDRICKSON ORG CHIL,HA,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1522,,,Absent,HENDRICKSON CONV,HS,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1530,Baldwin Pears,BA,Active,Baldwin Pears ORG,BA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1531,,,Absent,Baldwin Pears ORG CHIL,B8,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1532,,,Absent,Baldwin Pears CONV,B9,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1537,,,Absent,OMAK AIR-B BAW CONV,OJ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1538,,,Absent,OMAK AIR-B BAW ORG CHIL,OH,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1539,,,Absent,OMAK AIR-A BAW CONV,OX,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1540,Cook Orchard,CK,Active,Cook Orchard ORG CHIL,CK,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1542,,,Absent,Cook Orchard CONV,CT,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1543,,,Absent,OMAK AIR-A BAW ORG CHIL,OM,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1545,COOK ORCHARD NON-CHILEAN,C1,Active,COOK ORCH ORG,C1,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1546,,,Absent,OMAK AIR-BLK D CONV,OU,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1547,,,Absent,OMAK AIR-BLK D ORG CHIL,OI,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1548,,,Absent,OMAK AIR-BLK C CONV,OR,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1549,,,Absent,OMAK AIR-BLK C ORG CHIL,OY,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1550,Omak Airport Orchard,OA,Active,OMAK Airport ORG CHIL - DONT USE,OA,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1551,OMAK AIRPORT-THESIS,OT,Active,OMAK AIRPORT-THESIS ORG,OT,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1552,OMAK AIRPORT-BLOCK C,OC,Active,OMAK AIRPORT-BLK C ORG,OC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1553,OMAK AIRPORT-BLOCK D,OD,Active,OMAK AIRPORT-BLK D ORG,OD,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1554,OMAK AIRPORT-ABOVE BIDE-A-WEE,OV,Active,OMAK AIR-A BAW ORG,OV,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1555,OMAK AIRPORT-BELOW BIDE-A-WEE,OL,Active,OMAK AIR-B BAW ORG,OL,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1556,OMAK AIRPORT NON-CHILEAN,ON,Active,Omak Airport Orch ORG - DONT USE,ON,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1557,,,Absent,Omak Airport Orch CONV - DONT USE,OO,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1558,,,Absent,OMAK A-THESIS ORG CHIL,O1,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1559,,,Absent,OMAK AIR-THESIS CONV,OP,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1560,GA Orchard,AG,Active,GA Orchard ORG CHIL,AG,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1561,GA ORCHARD NON-CHILEANS,AN,Active,GA Orchard ORG,AN,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1565,GA Orchard-Special,AF,Active,GA Orchard CONV,AF,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1570,Gronk Orchard NON-CHILEAN,NK,Active,GRONK ORCHARD ORG,NK,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1572,,,Absent,GRONK ORCHARD CONV,NZ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1575,Gronk Orchard CHILEAN,NN,Active,GRONK ORCHARD ORG CHIL,NN,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1580,,,Absent,PK KANE ORCH CONV,P5,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1581,,,Absent,PK KANE ORCH ORG,P6,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1582,,,Absent,PK KANE ORCH ORG CHIL,P7,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1600,Pine Creek,PI,Active,Pine Creek ORG CHIL,PI,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1602,,,Absent,Pine Creek CONV,PJ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
1700,BRAYS,BR,Active,BRAYS ORG CHIL,BR,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1725,BRAYS NON-CHILEAN,B6,Active,BRAYS ORG,B6,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1750,Brays-Pink Lady,B5,Active,BRAYS CONV,B5,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
1800,leave open due to WP history,,Active,INACTIVE-Simmons-WPP,,Inactive,Newly inactive number,Skip ambiguous old alias,
1900,leave open due to WP history,,Active,INACTIVE-Highland-WPP,,Inactive,Newly inactive number,Skip ambiguous old alias,
2000,4 PAC,4P,Active,4 PAC ORG CHIL,4P,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2001,,,Absent,4 PAC ORG,4O,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2002,,,Absent,4 PAC CONV,4C,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2100,leave open due to WP history,,Active,INACTIVE-ACA-WPP,,Inactive,Newly inactive number,Skip ambiguous old alias,
2200,Crown,CR,Active,Crown ORG,CR,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2230,Crown-Fungicide,CC,Active,Crown CONV,CC,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2240,Crown-D&F,CL,Active,CROWN-NOT IN USE,CL,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2250,Crown-Drench,CW,Active,CROWN-NOT IN USE,CW,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2260,Crown-Chilean,CX,Active,Crown ORG CHIL,CX,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2300,leave open due to WP history,,Active,INACTIVE-VANTAGE-WPP,,Inactive,Newly inactive number,Skip ambiguous old alias,
2350,,,Absent,WHITESTONE PEARS CONV,W5,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2400,PHOENIX ORCHARDS Block A &E,PH,Active,PHOENIX A & E ORG,PH,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2401,,,Absent,PHOENIX A & E ORG CHIL,PL,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2402,,,Absent,PHOENIX A & E CONV,PK,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2500,leave open due to WP history,,Active,INACTIVE-FRENCHMAN-WPP,,Inactive,Newly inactive number,Skip ambiguous old alias,
2600,Turtle Rock,TR,Active,Turtle Rock ORG,TR,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2601,,,Absent,Turtle Rock ORG CHIL,TJ,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2602,,,Absent,Turtle Rock CONV,TG,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
2700,LSI,LS,Active,LSI ORG CHIL,LS,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2710,LSI NON-CHILEAN,L3,Active,LSI ORG,L3,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2720,LSI-ROBISON BLOCK,L4,Active,LSI-ROBISON ORG CHIL,L4,Active,"Same number, new current name",Retain old name only when production preflight confirms it remains unambiguous,
2721,,,Absent,LSI-ROBISON ORG,LF,Active,Newly reviewed active number,Not applicable,Informational only; no operational PoolStart write
